PMID	doi	google_scholar_author	google_scholar_id	title	issue	published	journal	authors
24618469	10.1093/bioinformatics/btu138	PTHL_cUAAAAJ	HDshCWvjkbEC	pRESTO: a toolkit for processing high-throughput sequencing raw reads of lymphocyte receptor repertoires	2014-07-01	2014-03-10	Bioinformatics	Vander Heiden JA, Yaari G, Uduman M, et al. 
26069265	10.1093/bioinformatics/btv359	PTHL_cUAAAAJ	35N4QoGY0k4C	Change-O: a toolkit for analyzing large-scale B cell immunoglobulin repertoire sequencing data	2015-10-01	2015-06-10	Bioinformatics	Gupta NT, Vander Heiden JA, Uduman M, Gadala-Maria D, Yaari G, Kleinstein SH.
25100741	10.1126/scitranslmed.3008879	PTHL_cUAAAAJ	maZDTaKrznsC	B cells populating the multiple sclerosis brain mature in the draining cervical lymph nodes	2014-08-06	2014-08-06	Sci Transl Med.	Stern JN, Yaari G, Vander Heiden JA, et al.
22641856	10.1093/nar/gks457	PTHL_cUAAAAJ	5nxA0vEk-isC	Quantifying selection in high-throughput Immunoglobulin sequencing data sets	2012-09-01	2012-05-25	Nucleic Acids Res.	Yaari G, Uduman M, Kleinstein SH. 
24298272	10.3389/fimmu.2013.00358	PTHL_cUAAAAJ	IWHjjKOFINEC	Models of somatic hypermutation targeting and substitution based on synonymous mutations from high-throughput immunoglobulin sequencing data	2013-11-15	2013-11-15	Front Immunol.	Yaari G, Vander Heiden JA, Uduman M, et al.
27707999	10.4049/jimmunol.1502263	PTHL_cUAAAAJ	KxtntwgDAa4C	A Model of Somatic Hypermutation Targeting in Mice Based on High-Throughput Ig Sequencing Data	2016-11-01	2016-11-01	J Immunol.	Cui A, Di Niro R, Vander Heiden JA, et al.
25675496	10.1073/pnas.1417683112	PTHL_cUAAAAJ	ns9cj8rnVeAC	Automated analysis of high-throughput B-cell sequencing data reveals a high frequency of novel immunoglobulin V gene segment alleles	2015-02-09	2015-02-09	Proc Natl Acad Sci U S A.	Gadala-Maria D, Yaari G, Uduman M, Kleinstein SH.
30814994	10.3389/fimmu.2019.00129	PTHL_cUAAAAJ	tkaPQYYpVKoC	Identification of Subject-Specific Immunoglobulin Alleles From Expressed Repertoire Sequencing Data	2019-02-13	2019-02-13	Front Immunol.	Gadala-Maria D, Gidoni M, Marquez S, et al.
29949968	10.1093/bioinformatics/bty235	PTHL_cUAAAAJ	WA5NYHcadZ8C	A spectral clustering-based method for identifying clones from high-throughput B cell repertoire sequencing data	2018-07-01	2018-06-27	Bioinformatics	Nouri N, Kleinstein SH.
30093903	10.3389/fimmu.2018.01687	PTHL_cUAAAAJ	Mojj43d5GZwC	Optimized Threshold Inference for Partitioning of Clones From High-Throughput B Cell Repertoire Sequencing Data	2018-07-26	2018-07-26	Front Immunol.	Nouri N, Kleinstein SH.
32574157	10.1371/journal.pcbi.1007977	PTHL_cUAAAAJ	Fu2w8maKXqMC	Somatic hypermutation analysis for improved identification of B cell clonal families from next-generation sequencing data	2020-06-23	2020-06-23	PLoS Comput Biol.	Nouri N, Kleinstein SH.
31636219	10.1073/pnas.1906020116	PTHL_cUAAAAJ	ye4kPcJQO24C	Repertoire-wide phylogenetic models of B cell molecular evolution reveal evolutionary signatures of aging and vaccination	2019-10-21	2019-10-21	Proc Natl Acad Sci U S A.	Hoehn KB, Vander Heiden JA, Zhou JQ, Lunter G, Pybus OG, Kleinstein SH. 
28315836	10.1534/genetics.116.196303	YKWaapEAAAAJ	uWiczbcajpAC	A Phylogenetic Codon Substitution Model for Antibody Lineages	2017-05-01	2017-05-01	Genetics	Hoehn KB, Lunter G, Pybus OG.
35468128	10.1371/journal.pcbi.1009885	PTHL_cUAAAAJ	j8SEvjWlNXcC	Phylogenetic analysis of migration, differentiation, and class switching in B cells	2022-04-25	2022-04-25	PLoS Comput Biol.	Hoehn KB, Pybus OG, Kleinstein SH.
34787567	10.7554/eLife.70873	PTHL_cUAAAAJ	EYYDruWGBe4C	Human B cell lineages associated with germinal centers following influenza vaccination are measurably evolving	2021-11-17	2021-11-17	Elife	Hoehn KB, Turner JS, Miller FI, et al. 
28179494	10.4049/jimmunol.1601850	PTHL_cUAAAAJ	WbkHhVStYXYC	Hierarchical clustering can identify B cell clones with high confidence in Ig repertoire sequencing data	2017-03-15	2017-03-15	J Immunol.	Gupta NT, Adams KD, Briggs AW, Timberlake SC, Vigneault F, Kleinstein SH. 
39058741	10.1371/journal.pcbi.1012265	PTHL_cUAAAAJ	4X0JR2_MtJMC	nf-core/airrflow: An adaptive immune receptor repertoire analysis workflow employing the Immcantation framework	2024-07-26	2024-07-26	PLoS Comput Biol.	Gabernet G, Marquez S, Bjornson R, et al.
38557795	10.4049/jimmunol.2300851	PTHL_cUAAAAJ	4X0JR2_MtJMC	Inferring B Cell Phylogenies from Paired H and L Chain BCR Sequences with Dowser	2024-05-01	2024-04-01	J Immunol.	Jensen CG, Sumner JA, Kleinstein SH, Hoehn KB.
